"","Date_UTC","ClickTime_UTC","clickDepth_m","fit_line","lwr_CI_99","upr_CI_99"
"1","2016-07-25","2016-07-25_21:20:12.153",241.093732534653,266.471088724681,237.672368849102,295.26980860026
"2","2016-07-25","2016-07-25_21:20:12.944",247.886113337273,266.481843963227,238.076517755719,294.887170170735
"3","2016-07-25","2016-07-25_21:20:14.931",307.653378036367,266.492382904026,239.053889230898,293.930876577154
"4","2016-07-25","2016-07-25_21:20:15.516",339.855880775978,266.491004769889,239.331265777077,293.6507437627
"5","2016-07-25","2016-07-25_21:20:17.069",230.729946759167,266.477487031285,240.044562989083,292.910411073487
"6","2016-07-25","2016-07-25_21:20:20.604",191.206844072206,266.393527045368,241.542051526103,291.245002564633
"7","2016-07-25","2016-07-25_21:20:21.089",358.774014919851,266.37626500703,241.733691497997,291.018838516064
"8","2016-07-25","2016-07-25_21:20:21.655",313.236356500196,266.354373663175,241.953085894522,290.755661431828
"9","2016-07-25","2016-07-25_21:20:23.818",188.861296132371,266.253425906221,242.749063281257,289.757788531186
"10","2016-07-25","2016-07-25_21:20:24.921",338.180543544771,266.191426892609,243.128862158058,289.25399162716
"11","2016-07-25","2016-07-25_21:20:24.984",341.778912440274,266.187671666246,243.150019352762,289.22532397973
"12","2016-07-25","2016-07-25_21:20:25.619",179.866975369781,266.14853161065,243.360026424742,288.937036796558
"13","2016-07-25","2016-07-25_21:20:26.303",194.107347315834,266.103748682306,243.579617225586,288.627880139026
"14","2016-07-25","2016-07-25_21:20:26.947",195.973965836973,266.059102108145,243.780065186146,288.338139030143
"15","2016-07-25","2016-07-25_21:21:12.510",221.481865635206,256.998826094719,242.100099167941,271.897553021497
"16","2016-07-25","2016-07-25_21:21:14.437",333.94495669216,256.368472423966,241.42091877458,271.316026073352
"17","2016-07-25","2016-07-25_21:21:14.496",209.587880769551,256.348867903147,241.399572284701,271.298163521593
"18","2016-07-25","2016-07-25_21:21:15.210",264.657977444471,256.110188278553,241.138721021569,271.081655535538
"19","2016-07-25","2016-07-25_21:21:15.878",215.271725965746,255.88449375667,240.890522688342,270.878464824998
"20","2016-07-25","2016-07-25_21:21:21.884",215.846121187486,253.752038568242,238.493047205095,269.011029931388
"21","2016-07-25","2016-07-25_21:21:22.559",318.206104678172,253.50083332203,238.20647410627,268.79519253779
"22","2016-07-25","2016-07-25_21:21:23.220",320.067309312641,253.25259148998,237.922777311028,268.582405668931
"23","2016-07-25","2016-07-25_21:21:27.967",197.000903790354,251.311488733151,235.732977139867,266.890000326435
"24","2016-07-25","2016-07-25_21:21:29.257",328.360290667857,250.736734462189,235.094295350048,266.379173574329
"25","2016-07-25","2016-07-25_21:21:29.904",322.730185054404,250.44170013454,234.767849905826,266.115550363255
"26","2016-07-25","2016-07-25_21:21:33.214",201.096079898548,248.868499330437,233.040792897412,264.696205763462
"27","2016-07-25","2016-07-25_21:21:34.512",197.000903790354,248.225576355865,232.340575505053,264.110577206678
"28","2016-07-25","2016-07-25_21:21:35.144",197.000903790354,247.907873225884,231.995565266317,263.82018118545
"29","2016-07-25","2016-07-25_21:21:35.792",330.237000849616,247.579170900421,231.639252359812,263.519089441031
"30","2016-07-25","2016-07-25_21:21:36.453",240.741262740245,247.240958763709,231.273269151981,263.208648375436
"31","2016-07-25","2016-07-25_21:21:37.150",337.057430565017,246.881327439151,230.8847714864,262.877883391901
"32","2016-07-25","2016-07-25_21:21:38.573",190.735376424653,246.138383171821,230.084163313208,262.192603030434
"33","2016-07-25","2016-07-25_21:21:39.266",322.238827264855,245.772744982325,229.691030227401,261.85445973725
"34","2016-07-25","2016-07-25_21:21:39.944",372.252679229399,245.412856710602,229.30459584092,261.521117580284
"35","2016-07-25","2016-07-25_21:21:40.625",255.903607944584,245.04941128196,228.914825535507,261.183997028413
"36","2016-07-25","2016-07-25_21:21:40.634",257.718816285786,245.044595672232,228.909664231299,261.179527113166
"37","2016-07-25","2016-07-25_21:21:41.322",257.718816285786,244.675585529575,228.51439432543,260.836776733719
"38","2016-07-25","2016-07-25_21:21:42.746",212.339829455422,243.906901721405,227.692361403053,260.121442039758
"39","2016-07-25","2016-07-25_21:21:45.595",179.753713623074,242.35513389474,226.037554949372,258.672712840109
"40","2016-07-25","2016-07-25_21:21:48.917",342.513591507912,240.537991018846,224.105714913246,256.970267124446
"41","2016-07-25","2016-07-25_21:21:49.538",184.411530141268,240.199042922587,223.745908897552,256.652176947623
"42","2016-07-25","2016-07-25_21:21:52.122",199.441424974784,238.796588674002,222.258456532279,255.334720815724
"43","2016-07-25","2016-07-25_21:21:54.818",204.99191613166,237.35537161967,220.731366909423,253.979376329918
"44","2016-07-25","2016-07-25_21:21:55.578",201.546215668595,236.946533399282,220.300264244838,253.592802553726
"45","2016-07-25","2016-07-25_21:23:02.775",179.631387260695,178.689682778497,162.478503527492,194.900862029502
"46","2016-07-25","2016-07-25_21:23:04.834",183.796591996619,177.236214095412,161.1457410029,193.326687187924
"47","2016-07-25","2016-07-25_21:23:05.540",185.232733339832,176.756360597383,160.714532823517,192.798188371249
"48","2016-07-25","2016-07-25_21:23:06.196",155.074515494029,176.319279826835,160.32608441411,192.312475239561
"49","2016-07-25","2016-07-25_21:23:06.851",150.766327292329,175.891489693261,159.950204307238,191.832775079285
"50","2016-07-25","2016-07-25_21:23:07.519",176.840429219436,175.464264004452,159.579415217822,191.349112791083
"51","2016-07-25","2016-07-25_21:23:08.901",154.915170675213,174.61020494526,158.853485680519,190.366924210002
"52","2016-07-25","2016-07-25_21:23:09.634",153.453515866951,174.173974921498,158.491500114162,189.856449728835
"53","2016-07-25","2016-07-25_21:23:11.674",249.862791995917,173.023454404875,157.570656614134,188.476252195616
"54","2016-07-25","2016-07-25_21:23:14.401",162.948397952694,171.638821526644,156.545121353766,186.732521699521
"55","2016-07-25","2016-07-25_21:23:16.553",167.127194100978,170.677433305322,155.906527586279,185.448339024365
"56","2016-07-25","2016-07-25_21:23:17.233",162.948397952694,170.398824675301,155.736445155706,185.061204194895
"57","2016-07-25","2016-07-25_21:23:17.934",168.757030173104,170.12461797486,155.577073906633,184.672162043086
"58","2016-07-25","2016-07-25_21:23:18.657",168.757030173104,169.855859177288,155.429644203116,184.28207415146
"59","2016-07-25","2016-07-25_21:23:19.410",212.036082776826,169.591367426604,155.294306774304,183.888428078904
"60","2016-07-25","2016-07-25_21:23:20.144",187.51088443091,169.348938168679,155.180138654575,183.517737682783
"61","2016-07-25","2016-07-25_21:23:20.842",226.749871634171,169.132715413365,155.087666661736,183.177764164995
"62","2016-07-25","2016-07-25_21:23:21.528",145.95974087967,168.934014231297,155.011878424714,182.85615003788
"63","2016-07-25","2016-07-25_21:23:23.619",145.95974087967,168.414845420749,154.870466981448,181.95922386005
"64","2016-07-25","2016-07-25_21:23:24.329",150.211563599386,168.268893814636,154.85191838611,181.685869243161
"65","2016-07-25","2016-07-25_21:23:25.046",139.880919247877,168.137477236442,154.847551901831,181.427402571053
"66","2016-07-25","2016-07-25_21:23:25.753",148.274910664773,168.025208109869,154.858935862132,181.191480357605
"67","2016-07-25","2016-07-25_21:23:26.414",177.347463935098,167.9364707173,154.884350016338,180.988591418262
"68","2016-07-25","2016-07-25_21:23:27.078",218.59943550097,167.862187357106,154.922660923047,180.801713791164
"69","2016-07-25","2016-07-25_21:23:27.788",145.723092756262,167.798196864574,154.975998853591,180.620394875556
"70","2016-07-25","2016-07-25_21:23:28.520",148.472964331395,167.747770352852,155.042340091508,180.453200614195
"71","2016-07-25","2016-07-25_21:23:29.223",147.098026787976,167.713072379931,155.11491195688,180.311232802983
"72","2016-07-25","2016-07-25_21:23:29.894",137.082950694112,167.691490714927,155.190500659155,180.1924807707
"73","2016-07-25","2016-07-25_21:23:31.167",179.05397972397,167.67810052988,155.344983730018,180.011217329742
"74","2016-07-25","2016-07-25_21:23:31.848",181.852162666799,167.68393311751,155.43053496715,179.93733126787
"75","2016-07-25","2016-07-25_21:23:35.957",181.50286044252,167.849163354948,155.896168791317,179.802157918579
"76","2016-07-25","2016-07-25_21:23:36.630",140.694618401929,167.888327159977,155.95244285842,179.824211461534
"77","2016-07-25","2016-07-25_21:23:37.275",215.277511711449,167.926654010887,155.998597063978,179.854710957796
"78","2016-07-25","2016-07-25_21:23:37.931",139.287492194491,167.965552165162,156.037040519821,179.894063810503
"79","2016-07-25","2016-07-25_21:23:38.585",171.901803718191,168.003376295649,156.066246333076,179.940506258221
"80","2016-07-25","2016-07-25_21:23:39.217",170.469068368613,168.038199188357,156.08534593756,179.991052439154
"81","2016-07-25","2016-07-25_21:23:40.428",169.036336721698,168.09727307184,156.095559940213,180.098986203466
"82","2016-07-25","2016-07-25_21:23:41.546",169.036336721698,168.138865921316,156.072841614901,180.204890227731
"83","2016-07-25","2016-07-25_21:23:42.426",169.036336721698,168.159923613282,156.032556889789,180.287290336776
"84","2016-07-25","2016-07-25_21:23:43.131",170.469068368613,168.1677961655,155.985803588727,180.349788742273
"85","2016-07-25","2016-07-25_21:23:43.832",169.036336721698,168.166513857784,155.926421457568,180.406606258
"86","2016-07-25","2016-07-25_21:23:44.519",169.036336721698,168.155403213084,155.855668374383,180.455138051785
"87","2016-07-25","2016-07-25_21:23:45.897",141.815138970763,168.143274637718,155.724680521169,180.561868754266
"88","2016-07-25","2016-07-25_21:23:49.107",147.050226426479,168.247888939094,155.570577183177,180.925200695012
"89","2016-07-25","2016-07-25_21:23:49.635",151.292654186005,168.278853021253,155.560326463815,180.997379578691
"90","2016-07-25","2016-07-25_21:23:50.611",166.848507756144,168.343545969895,155.548945809317,181.138146130473
"91","2016-07-25","2016-07-25_21:23:51.092",144.221959767588,168.378430398698,155.546236791671,181.210624005726
